method,profile_type,T0,run_id,seed,hv,pareto_size,pareto_feas,f1_interest_mean,cog_gap_mean,f3_coherence_mean,feasible_ratio,runtime_sec
SA_MOEAD,tourist,300,4,46,0.035868,77,77,0.447214,0.017435,0.133610,1.000000,5.282126
SA_MOEAD,tourist,300,5,47,0.036628,100,100,0.447214,0.027625,0.146506,1.000000,6.104182
SA_MOEAD,tourist,300,6,48,0.038435,99,99,0.447214,0.024747,0.166125,1.000000,4.951254
SA_MOEAD,tourist,300,7,49,0.046915,98,98,0.447214,0.024541,0.180484,1.000000,4.826935
SA_MOEAD,tourist,300,8,50,0.042277,71,71,0.447214,0.026268,0.134452,1.000000,5.212896
SA_MOEAD,tourist,300,9,51,0.032712,100,100,0.447214,0.000000,0.146291,1.000000,3.525145
SA_MOEAD,tourist,300,10,52,0.036225,91,91,0.447214,0.027775,0.141333,1.000000,5.706484
SA_MOEAD,tourist,300,11,53,0.036255,93,93,0.447214,0.022796,0.136476,1.000000,5.678748
SA_MOEAD,tourist,300,12,54,0.046701,84,84,0.447214,0.021964,0.169228,1.000000,4.689056
SA_MOEAD,tourist,300,13,55,0.036280,76,76,0.447214,0.026316,0.138792,1.000000,5.503222
SA_MOEAD,tourist,300,14,56,0.035613,76,76,0.447214,0.022533,0.125016,1.000000,4.660343
SA_MOEAD,tourist,300,15,57,0.047026,96,96,0.447214,0.013594,0.192876,1.000000,4.412383
SA_MOEAD,tourist,300,16,58,0.043495,98,98,0.447214,0.025153,0.172784,1.000000,5.377453
SA_MOEAD,tourist,300,17,59,0.043072,94,94,0.447214,0.029468,0.166933,1.000000,5.937112
SA_MOEAD,tourist,300,18,60,0.042848,90,90,0.447214,0.027972,0.182938,1.000000,4.439473
SA_MOEAD,tourist,300,19,61,0.036428,100,100,0.447214,0.024675,0.143131,1.000000,4.848976
SA_MOEAD,tourist,300,20,62,0.042934,76,76,0.447214,0.022533,0.161678,1.000000,7.850550
SA_MOEAD,tourist,300,21,63,0.043119,95,95,0.447214,0.023316,0.170861,1.000000,4.999105
SA_MOEAD,tourist,300,22,64,0.038483,72,72,0.447214,0.011806,0.170752,1.000000,3.904751
SA_MOEAD,tourist,300,23,65,0.037166,98,98,0.447214,0.029515,0.141659,1.000000,5.571341
SA_MOEAD,tourist,300,24,66,0.036661,100,100,0.447214,0.023125,0.145023,1.000000,6.512764
SA_MOEAD,tourist,300,25,67,0.038254,97,97,0.447214,0.011392,0.159669,1.000000,4.752557
SA_MOEAD,tourist,300,26,68,0.043093,92,92,0.447214,0.028071,0.167498,1.000000,5.249569
SA_MOEAD,tourist,300,27,69,0.048968,1,1,0.447214,0.000000,0.218993,1.000000,5.485355
SA_MOEAD,tourist,300,28,70,0.035728,84,84,0.447214,0.017024,0.126477,1.000000,4.307111
SA_MOEAD,tourist,300,29,71,0.036827,77,77,0.447214,0.018312,0.152689,1.000000,5.022860
SA_MOEAD,tourist,300,30,72,0.043030,93,93,0.447214,0.023172,0.175793,1.000000,4.257296
SA_MOEAD,tourist,600,1,43,0.037080,91,91,0.447214,0.009066,0.156631,1.000000,5.271654
SA_MOEAD,tourist,600,2,44,0.037047,100,100,0.447214,0.009587,0.159472,1.000000,6.624329
SA_MOEAD,tourist,600,3,45,0.033451,75,75,0.447214,0.023200,0.126103,1.000000,5.272978
SA_MOEAD,tourist,600,4,46,0.030926,98,98,0.447214,0.003615,0.135549,1.000000,5.798129
SA_MOEAD,tourist,600,5,47,0.036879,80,80,0.447214,0.030594,0.136780,1.000000,8.062590
SA_MOEAD,tourist,600,6,48,0.032717,94,94,0.447214,0.003604,0.142634,1.000000,6.555793
SA_MOEAD,tourist,600,7,49,0.037692,61,61,0.447214,0.011148,0.148608,1.000000,6.090364
SA_MOEAD,tourist,600,8,50,0.037622,96,96,0.447214,0.022786,0.146319,1.000000,6.182769
SA_MOEAD,tourist,600,9,51,0.034815,99,99,0.447214,0.018409,0.140443,1.000000,5.555686
SA_MOEAD,tourist,600,10,52,0.037522,96,96,0.447214,0.027734,0.149500,1.000000,6.527391
SA_MOEAD,tourist,600,11,53,0.036746,72,72,0.447214,0.028785,0.142190,1.000000,6.642098
SA_MOEAD,tourist,600,12,54,0.035549,83,83,0.447214,0.012681,0.145399,1.000000,5.472956
SA_MOEAD,tourist,600,13,55,0.035304,99,99,0.447214,0.017879,0.139348,1.000000,6.510064
SA_MOEAD,tourist,600,14,56,0.038115,81,81,0.447214,0.014954,0.151494,1.000000,5.555173
SA_MOEAD,tourist,600,15,57,0.038946,86,86,0.447214,0.012573,0.160184,1.000000,5.555060
SA_MOEAD,tourist,600,16,58,0.037536,95,95,0.447214,0.024697,0.147535,1.000000,5.308866
SA_MOEAD,tourist,600,17,59,0.039208,94,94,0.447214,0.018059,0.160306,1.000000,5.865481
SA_MOEAD,tourist,600,18,60,0.043496,93,93,0.447214,0.024933,0.180296,1.000000,5.128971
SA_MOEAD,tourist,600,19,61,0.038794,70,70,0.447214,0.027696,0.149919,1.000000,5.806255
SA_MOEAD,tourist,600,20,62,0.035413,90,90,0.447214,0.016444,0.138654,1.000000,5.267658
SA_MOEAD,tourist,600,21,63,0.035079,96,96,0.447214,0.019635,0.140479,1.000000,6.037380
SA_MOEAD,tourist,600,22,64,0.038745,94,94,0.447214,0.020585,0.152640,1.000000,6.147133
SA_MOEAD,tourist,600,23,65,0.038304,98,98,0.447214,0.010791,0.162103,1.000000,6.843817
SA_MOEAD,tourist,600,24,66,0.038905,89,89,0.447214,0.025576,0.153894,1.000000,5.534607
SA_MOEAD,tourist,600,25,67,0.036821,74,74,0.447214,0.015743,0.140665,1.000000,5.416322
SA_MOEAD,tourist,600,26,68,0.035727,85,85,0.447214,0.019662,0.147604,1.000000,5.805528
SA_MOEAD,tourist,600,27,69,0.036829,98,98,0.447214,0.017474,0.149177,1.000000,6.386256
SA_MOEAD,tourist,600,28,70,0.039718,97,97,0.447214,0.024240,0.154719,1.000000,5.063488
SA_MOEAD,tourist,600,29,71,0.035470,99,99,0.447214,0.004495,0.154685,1.000000,5.385872
SA_MOEAD,tourist,600,30,72,0.036441,82,82,0.447214,0.016479,0.150454,1.000000,6.563865
SA_MOEAD,senior,300,1,43,0.057944,93,93,0.574650,0.032392,0.134801,1.000000,4.415103
SA_MOEAD,senior,300,2,44,0.041291,97,97,0.604337,0.005464,0.109993,1.000000,4.238941
SA_MOEAD,senior,300,3,45,0.052278,97,97,0.529967,0.030696,0.114274,1.000000,4.886489
SA_MOEAD,senior,300,4,46,0.037792,100,100,0.652220,0.000000,0.115887,1.000000,3.580380
SA_MOEAD,senior,300,5,47,0.047193,92,92,0.563066,0.017147,0.100127,1.000000,4.726429
SA_MOEAD,senior,300,6,48,0.046797,93,86,0.518926,0.019593,0.106957,0.924731,10.942385
SA_MOEAD,senior,300,7,49,0.038203,65,65,0.520458,0.016154,0.119936,1.000000,4.018465
